"team_year_id","year","team","sp_rating","conference","offense_ranking","offense_rating","defense_ranking","defense_rating","expected_wins","total_games","total_wins","total_losses","talent_rating","recruiting_rank","recruiting_points"
"2015Michigan State",2015,"Michigan State",15.6,"Big Ten",30,35.7,25,20.6,10.5,14,12,2,715.3,23,221.77
"2015Mississippi State",2015,"Mississippi State",15.1,"SEC",16,40.2,42,23.8,9.8,13,9,4,680.06,18,237.46
"2015Wisconsin",2015,"Wisconsin",15.1,"Big Ten",75,27,3,12.4,10.2,13,10,3,635.77,41,189.85
"2015Auburn",2015,"Auburn",14.6,"SEC",28,36.1,40,23.1,6.9,13,7,6,865.41,8,278.31
"2015Texas A&M",2015,"Texas A&M",14.1,"SEC",51,31.9,14,18.8,7.8,13,8,5,830.34,11,270.61
"2015Florida",2015,"Florida",13.8,"SEC",80,26.7,9,15.8,9.1,14,10,4,789.79,21,227.46
"2015Louisville",2015,"Louisville",13.2,"ACC",42,33.4,21,20,8.9,13,8,5,641.05,33,201.4
"2015West Virginia",2015,"West Virginia",12.9,"Big 12",38,34.4,20,19.9,9,13,8,5,625.85,35,198.02
"2015Navy",2015,"Navy",12.1,"American Athletic",19,38.9,65,27.8,10,13,11,2,306.87,112,114.7
"2015California",2015,"California",12.1,"Pac-12",12,41.3,78,29.5,7.9,13,8,5,626,34,198.77
"2015Boise State",2015,"Boise State",11.8,"Mountain West",49,32.2,22,20.2,9.3,13,9,4,568.96,58,171.68
"2015Virginia Tech",2015,"Virginia Tech",11.4,"ACC",57,30.8,18,19.7,6.6,13,7,6,658.38,29,212.07
"2015Penn State",2015,"Penn State",11.3,"Big Ten",70,28.4,15,19,7.3,13,7,6,732.36,14,250
"2015Pittsburgh",2015,"Pittsburgh",11.1,"ACC",40,33.9,35,22.4,6.7,13,8,5,611.18,46,183.18
"2015Nebraska",2015,"Nebraska",11.1,"Big Ten",33,35.4,48,25,7.6,13,6,7,699.89,30,211.72
"2015Miami",2015,"Miami",11,"ACC",36,34.9,54,25.8,6.7,13,8,5,773.23,27,215.49
"2015Utah",2015,"Utah",11,"Pac-12",66,28.8,19,19.8,9.4,13,10,3,574.41,45,183.38
"2015Western Kentucky",2015,"Western Kentucky",10.8,"Conference USA",17,40.1,80,29.8,10.5,14,12,2,353.5,111,115.65
"2015Arizona State",2015,"Arizona State",10.2,"Pac-12",36,34.9,61,27.2,7,13,6,7,680.87,19,232.73
"2015Oklahoma State",2015,"Oklahoma State",9.9,"Big 12",23,37.7,73,28.8,8.4,13,10,3,651.83,40,191.28
"2015Washington",2015,"Washington",9.7,"Pac-12",60,30.1,27,20.8,7.5,13,7,6,667.45,26,215.83
"2015NC State",2015,"NC State",9.6,"ACC",27,36.2,47,24.7,7,13,7,6,610.33,31,208.69
"2015Iowa",2015,"Iowa",9.3,"Big Ten",60,30.1,28,21,10.1,14,12,2,573.06,59,169.99
"2015Georgia Tech",2015,"Georgia Tech",9,"ACC",44,33.1,52,25.4,4.2,12,3,9,590.34,44,185.45
"2015BYU",2015,"BYU",8.7,"FBS Independents",51,31.9,46,24.6,8.7,13,9,4,521.43,65,165.06
"2015Louisiana Tech",2015,"Louisiana Tech",8.3,"Conference USA",32,35.6,64,27.4,9.5,13,9,4,437.99,82,142.32
"2015Minnesota",2015,"Minnesota",8.1,"Big Ten",71,28.1,35,22.4,6.6,13,6,7,516.1,63,167.01
"2015San Diego State",2015,"San Diego State",8,"Mountain West",67,28.6,37,22.6,11.8,14,11,3,494.77,70,161.96
"2015Memphis",2015,"Memphis",8,"American Athletic",35,35.1,82,30.4,8.4,13,9,4,381.8,77,146.79
"2015App State",2015,"App State",7.9,"Sun Belt",43,33.2,49,25.1,10.9,13,11,2,312.88,114,112.03
"2015Toledo",2015,"Toledo",7.7,"Mid-American",59,30.4,33,21.8,9.6,12,10,2,429.03,84,138.12
"2015Bowling Green",2015,"Bowling Green",7.5,"Mid-American",18,39.4,92,32.1,10.3,14,10,4,433.59,104,119.83
"2015Georgia Southern",2015,"Georgia Southern",7.3,"Sun Belt",46,32.8,56,26.5,8.9,13,9,4,391.18,85,137.18
"2015Houston",2015,"Houston",6.2,"American Athletic",41,33.6,69,28.4,10.8,14,13,1,511.45,89,131.58
"2015Temple",2015,"Temple",6,"American Athletic",82,26.4,25,20.6,9.2,14,10,4,405.92,80,143.34
"2015Cincinnati",2015,"Cincinnati",5.3,"American Athletic",38,34.4,68,28.2,8.3,13,7,6,494.65,68,162.45
"2015Western Michigan",2015,"Western Michigan",4.9,"Mid-American",26,36.7,95,32.2,7.4,13,8,5,442.13,76,147.78
"2015Boston College",2015,"Boston College",4.7,"ACC",118,18,5,12.5,4,12,3,9,534.6,60,169.45
"2015Air Force",2015,"Air Force",4.7,"Mountain West",47,32.6,74,29.2,8.2,14,8,6,70.95,123,98.02
"2015Arizona",2015,"Arizona",4.7,"Pac-12",21,38,87,31.6,6.1,13,7,6,606.92,43,186.57
"2015Texas Tech",2015,"Texas Tech",4.5,"Big 12",4,44.8,121,40.3,5.9,13,7,6,641.07,32,203.18
"2015Washington State",2015,"Washington State",4.2,"Pac-12",29,35.8,77,29.4,8.6,13,9,4,540.86,42,188.41
"2015Texas",2015,"Texas",3.7,"Big 12",58,30.7,60,27,5,12,5,7,821.26,10,272.49
"2015South Florida",2015,"South Florida",3.6,"American Athletic",60,30.1,59,26.8,8.1,13,8,5,529.65,66,163.15
"2015Marshall",2015,"Marshall",3.5,"Conference USA",90,25.4,24,20.3,9,13,10,3,489.77,75,149.98
"2015South Carolina",2015,"South Carolina",3.4,"SEC",53,31.3,72,28.6,3.9,12,3,9,725.72,20,230.49
"2015Duke",2015,"Duke",3.4,"ACC",75,27,31,21.5,6.7,13,8,5,563.19,52,175.77
"2015Missouri",2015,"Missouri",3.4,"SEC",122,16.7,3,12.4,4.4,12,5,7,642.93,25,217.98
"2015Illinois",2015,"Illinois",2.7,"Big Ten",103,22.7,22,20.2,4.7,12,5,7,530.96,48,181.74
"2015Kansas State",2015,"Kansas State",2.6,"Big 12",49,32.2,84,30.8,4.5,13,6,7,503.64,54,175.02
"2015Southern Miss",2015,"Southern Miss",1.4,"Conference USA",53,31.3,86,31.1,9.2,14,9,5,470.84,87,133.4
"2015Virginia",2015,"Virginia",1.4,"ACC",45,33,84,30.8,4.2,12,4,8,667.05,50,179.92
"2015Colorado State",2015,"Colorado State",0.5,"Mountain West",64,29.4,81,30.2,6.4,13,7,6,389.1,119,101.72
"2015Arkansas State",2015,"Arkansas State",0.5,"Sun Belt",56,30.9,69,28.4,8.2,13,9,4,408.08,90,131.45
"2015Indiana",2015,"Indiana",0.4,"Big Ten",25,37.5,109,35.9,7.4,13,6,7,559.08,53,175.35
"2015Northwestern",2015,"Northwestern",0.2,"Big Ten",120,16.8,7,15,8,13,10,3,595.75,55,174.83
"2015Utah State",2015,"Utah State",-0.1,"Mountain West",99,24.1,39,22.9,6.6,13,6,7,331.44,96,124.56
"2015Kentucky",2015,"Kentucky",-0.3,"SEC",78,26.8,61,27.2,5.2,12,5,7,634.52,38,193.19
"2015Iowa State",2015,"Iowa State",-0.3,"Big 12",55,31.2,104,33.7,4.8,12,3,9,529.12,64,166.5
"2015East Carolina",2015,"East Carolina",-0.5,"American Athletic",67,28.6,66,27.9,5.5,12,5,7,403.62,93,126.85
"2015Ohio",2015,"Ohio",-0.5,"Mid-American",93,24.5,58,26.6,7.1,13,8,5,330.61,92,128.68
"2015Akron",2015,"Akron",-0.8,"Mid-American",92,24.8,55,25.9,7.9,13,8,5,412.65,127,82.38
"2015Northern Illinois",2015,"Northern Illinois",-0.9,"Mid-American",85,26.1,52,25.4,7,14,8,6,380.69,83,138.94
"2015Vanderbilt",2015,"Vanderbilt",-1.6,"SEC",119,17.8,16,19.3,4.2,12,4,8,609.76,49,181.37
"2015Maryland",2015,"Maryland",-1.6,"Big Ten",85,26.1,56,26.5,3.8,12,3,9,603.76,47,182.31
"2015Central Michigan",2015,"Central Michigan",-3.1,"Mid-American",82,26.4,61,27.2,8.3,13,7,6,376.81,97,123.63
"2015Syracuse",2015,"Syracuse",-3.9,"ACC",63,30,101,33.2,4.6,12,4,8,508.8,57,172.06
"2015Colorado",2015,"Colorado",-4,"Pac-12",88,25.8,71,28.5,3.4,13,4,9,542.06,69,162.04
"2015San José State",2015,"San José State",-4.5,"Mountain West",78,26.8,91,32,6.8,13,6,7,379.6,62,167.14
"2015Wake Forest",2015,"Wake Forest",-4.5,"ACC",111,19.8,50,25.2,4.1,12,3,9,497.48,51,176.85
"2015Middle Tennessee",2015,"Middle Tennessee",-4.6,"Conference USA",73,27.7,92,32.1,7.2,13,7,6,409.82,86,134.77
"2015UConn",2015,"UConn",-6.3,"American Athletic",117,18.1,43,23.9,7,13,6,7,402.23,99,120.89
"2015Georgia State",2015,"Georgia State",-6.7,"Sun Belt",72,28,88,31.9,7.6,13,6,7,335.67,124,90.61
"2015Troy",2015,"Troy",-7,"Sun Belt",93,24.5,88,31.9,4.9,12,4,8,335.43,117,107.58
"2015Nevada",2015,"Nevada",-7.1,"Mountain West",77,26.9,98,32.6,6.2,13,7,6,380.53,98,122.5
"2015Louisiana",2015,"Louisiana",-7.1,"Sun Belt",97,24.2,92,32.1,3.7,12,4,8,430.17,78,146.18
"2015Purdue",2015,"Purdue",-7.4,"Big Ten",81,26.6,103,33.5,1.8,12,2,10,534.26,67,162.85
"2015Tulsa",2015,"Tulsa",-8.5,"American Athletic",48,32.4,124,41.2,6.3,13,6,7,404.03,109,116.08
"2015New Mexico",2015,"New Mexico",-8.7,"Mountain West",91,24.9,106,34.8,4.6,13,7,6,341.72,116,110.03
"2015Massachusetts",2015,"Massachusetts",-9.5,"Mid-American",105,22.1,75,29.3,3.2,12,3,9,323.73,107,118.12
"2015Florida Atlantic",2015,"Florida Atlantic",-9.8,"Conference USA",114,18.8,75,29.3,4.9,12,3,9,401.61,79,146.02
"2015Oregon State",2015,"Oregon State",-10.1,"Pac-12",87,25.9,108,35.3,3,12,2,10,544.66,61,167.89
"2015Rutgers",2015,"Rutgers",-10.1,"Big Ten",65,29.3,112,37.1,4.1,12,4,8,602.35,56,172.19
"2015Buffalo",2015,"Buffalo",-10.3,"Mid-American",99,24.1,95,32.2,5.2,12,5,7,316.44,118,103.21
"2015South Alabama",2015,"South Alabama",-10.4,"Sun Belt",96,24.3,102,33.4,2.7,12,5,7,367.16,88,132.17
"2015Kent State",2015,"Kent State",-11.9,"Mid-American",127,10.6,30,21.3,3.6,12,3,9,338.4,102,119.93
"2015Fresno State",2015,"Fresno State",-12.6,"Mountain West",112,19.6,99,32.8,4,12,3,9,402.58,72,155.02
"2015Miami (OH)",2015,"Miami (OH)",-13.5,"Mid-American",120,16.8,78,29.5,4.4,12,3,9,397.13,74,150.48
"2015Tulane",2015,"Tulane",-14,"American Athletic",108,20.3,97,32.5,2.8,12,3,9,408.22,91,128.9
"2015Rice",2015,"Rice",-14.6,"Conference USA",101,24,116,37.9,5.1,12,5,7,399.58,101,120.11
"2015UL Monroe",2015,"UL Monroe",-14.7,"Sun Belt",116,18.4,100,32.9,1.8,13,2,11,292.73,108,116.67
"2015Old Dominion",2015,"Old Dominion",-14.8,"Conference USA",104,22.5,114,37.5,3.8,12,5,7,319.6,110,115.65
"2015UCF",2015,"UCF",-15.5,"American Athletic",124,16.3,104,33.7,0.3,12,0,12,484.54,71,160.78
"2015Ball State",2015,"Ball State",-15.5,"Mid-American",106,21.9,113,37.3,2.7,12,3,9,349.94,105,119.7
"2015Texas State",2015,"Texas State",-15.5,"Sun Belt",84,26.3,122,40.5,3.6,12,3,9,360.49,95,124.71
"2015UNLV",2015,"UNLV",-16.2,"Mountain West",97,24.2,120,39.9,3.5,12,3,9,332.69,106,119.46
"2015Hawai'i",2015,"Hawai'i",-16.3,"Mountain West",123,16.6,107,35.1,3.6,13,3,10,385.63,122,98.16
"2015Florida International",2015,"Florida International",-16.6,"Conference USA",107,21.7,110,36.5,4.9,12,5,7,360.11,100,120.42
"2015Wyoming",2015,"Wyoming",-16.7,"Mountain West",102,22.9,119,39.7,2.2,12,2,10,314.72,113,114.32
"2015SMU",2015,"SMU",-17.5,"American Athletic",74,27.3,126,42.3,2.4,12,2,10,446.83,81,142.99
"2015UTSA",2015,"UTSA",-17.7,"Conference USA",113,19.3,111,36.6,4.7,12,3,9,356.37,103,119.88
"2015New Mexico State",2015,"New Mexico State",-18.6,"Sun Belt",93,24.5,125,42.2,3.8,12,3,9,251.16,125,87.78
"2015UTEP",2015,"UTEP",-19.5,"Conference USA",115,18.7,115,37.8,4.2,12,5,7,256.12,128,73.03
"2015Eastern Michigan",2015,"Eastern Michigan",-19.7,"Mid-American",89,25.6,127,45.5,1.6,12,1,11,341.36,115,110.15
"2015Kansas",2015,"Kansas",-21.3,"Big 12",110,20.2,123,40.6,1.2,12,0,12,499.97,73,153.94
"2015Charlotte",2015,"Charlotte",-21.7,"Conference USA",126,11.9,88,31.9,2,12,2,10,304.05,126,86.91
"2015Army",2015,"Army",-21.7,"FBS Independents",108,20.3,117,39,4.1,12,2,10,186.45,120,100.83
"2015North Texas",2015,"North Texas",-25,"Conference USA",125,13.3,118,39.2,1,12,1,11,380.69,94,126.6
"2016Alabama",2016,"Alabama",31.7,"SEC",13,40,1,8.6,13.9,15,14,1,982.66,1,302.04
"2016Clemson",2016,"Clemson",28.7,"ACC",3,43.5,6,14.1,13.5,15,14,1,846,11,271.16
"2016Washington",2016,"Washington",26.7,"Pac-12",12,40.2,4,13.9,11.8,14,12,2,699.64,29,209.87
"2016Oklahoma",2016,"Oklahoma",26.1,"Big 12",1,48.7,31,22.9,10.5,13,11,2,777.48,19,238.73
"2016LSU",2016,"LSU",25.3,"SEC",40,34.2,2,9,9.3,12,8,4,917.72,2,295.03
"2016Michigan",2016,"Michigan",24.4,"Big Ten",35,34.8,3,11.1,10.6,13,10,3,852.78,8,280.38
"2016Florida State",2016,"Florida State",24,"ACC",5,42.6,17,18.8,9.3,13,10,3,906.64,3,294.83
"2016USC",2016,"USC",23.6,"Pac-12",19,39.2,9,17.1,9.9,13,10,3,936.86,10,273.71
"2016Louisville",2016,"Louisville",22.9,"ACC",8,40.8,15,17.7,9.8,13,9,4,654.13,38,196.02
"2016Ohio State",2016,"Ohio State",22.4,"Big Ten",32,35.6,8,15,9.3,13,11,2,902.46,4,289.12
"2016Penn State",2016,"Penn State",19,"Big Ten",23,38,25,20.9,8.7,14,11,3,742.52,20,237.79
"2016Miami",2016,"Miami",18.6,"ACC",42,34.1,10,17.3,9.9,13,9,4,745.93,22,231.78
"2016Stanford",2016,"Stanford",16.4,"Pac-12",53,31.2,12,17.5,8.3,13,10,3,778.45,16,245.82
"2016Oklahoma State",2016,"Oklahoma State",16.4,"Big 12",7,42.4,51,27,9.8,13,10,3,631.68,45,184.33
"2016Tennessee",2016,"Tennessee",16.3,"SEC",15,39.9,44,25.2,8,13,9,4,813.92,14,253.94
"2016Wisconsin",2016,"Wisconsin",16.1,"Big Ten",58,30.5,7,14.8,10.6,14,11,3,643.76,35,202.85
"2016North Carolina",2016,"North Carolina",15.9,"ACC",21,38.5,41,24.6,8.4,13,8,5,669.61,32,204.83
"2016Notre Dame",2016,"Notre Dame",15.7,"FBS Independents",18,39.4,34,23.2,6.7,12,4,8,842.35,15,249.43
"2016Western Kentucky",2016,"Western Kentucky",15.5,"Conference USA",9,40.7,45,25.8,10.4,14,11,3,401.82,101,124.1
"2016Florida",2016,"Florida",15.4,"SEC",84,26.6,5,14,8.5,13,9,4,798.44,12,260.96
"2016Auburn",2016,"Auburn",15.3,"SEC",49,32.1,16,18.4,7.4,13,8,5,865.36,9,275.14
"2016Virginia Tech",2016,"Virginia Tech",15.2,"ACC",37,34.5,21,19.6,9.3,14,10,4,646.82,42,190.06
"2016Pittsburgh",2016,"Pittsburgh",13.1,"ACC",4,43,75,29.4,8.1,13,8,5,649.85,30,209.23
"2016Minnesota",2016,"Minnesota",12.6,"Big Ten",76,27.8,12,17.5,9.1,13,9,4,535.44,46,182.22
"2016Ole Miss",2016,"Ole Miss",12.4,"SEC",20,38.9,62,27.9,5.9,12,5,7,808.15,5,281.69
"2016Toledo",2016,"Toledo",12.3,"Mid-American",10,40.6,54,27.4,10.2,13,9,4,460.86,88,132.92
"2016Texas A&M",2016,"Texas A&M",12,"SEC",26,37.2,47,26.1,8.4,13,8,5,814.63,18,238.94
"2016Temple",2016,"Temple",11.9,"American Athletic",52,31.5,22,19.8,11.3,14,10,4,492.72,59,167.55
"2016Western Michigan",2016,"Western Michigan",11.5,"Mid-American",13,40,70,28.9,11.9,14,13,1,443.16,67,160.72
"2016Boise State",2016,"Boise State",11.5,"Mountain West",28,36.7,42,25,11,13,10,3,548.82,68,160.66
"2016San Diego State",2016,"San Diego State",11.4,"Mountain West",50,32,29,22.5,10.8,14,11,3,482.31,82,141.93
"2016Baylor",2016,"Baylor",11.3,"Big 12",27,37,40,24.2,7.4,13,7,6,619.18,40,191.99
"2016West Virginia",2016,"West Virginia",11.3,"Big 12",31,35.7,30,22.8,8.8,13,10,3,654.64,39,194.45
"2016TCU",2016,"TCU",11,"Big 12",37,34.5,36,23.4,6.4,13,6,7,665.53,21,235.79
"2016Utah",2016,"Utah",10.9,"Pac-12",46,32.5,38,23.6,6.8,13,9,4,580.07,37,200.66
"2016Texas",2016,"Texas",10.6,"Big 12",25,37.4,50,26.8,5.7,12,5,7,838.97,7,280.66
"2016Nebraska",2016,"Nebraska",10.3,"Big Ten",24,37.7,65,28.3,8.3,13,9,4,691.61,26,216.76
"2016Iowa",2016,"Iowa",10.3,"Big Ten",68,29,18,18.9,7.4,13,8,5,558.73,47,181.39
"2016Houston",2016,"Houston",10.1,"American Athletic",56,30.8,27,21.7,9.6,13,9,4,572.7,36,201.5
"2016South Florida",2016,"South Florida",9.8,"American Athletic",2,44.4,99,34.9,9.7,13,11,2,563.99,66,161.21
"2016NC State",2016,"NC State",9.4,"ACC",58,30.5,19,19.3,7.8,13,7,6,616.29,50,177.67
"2016Georgia",2016,"Georgia",9.3,"SEC",74,28,14,17.6,7.6,13,8,5,872,6,281.31
"2016App State",2016,"App State",9.2,"Sun Belt",61,30,23,20.5,10,13,10,3,333.36,109,111.72
"2016UCLA",2016,"UCLA",9.1,"Pac-12",79,27.5,10,17.3,6.5,12,4,8,819.16,13,259.06
"2016Kansas State",2016,"Kansas State",8.2,"Big 12",40,34.2,52,27.2,7.8,13,9,4,505.29,72,155.49
"2016BYU",2016,"BYU",8,"FBS Independents",63,29.6,33,23.1,8.9,13,9,4,529.05,49,177.85
"2016Arkansas",2016,"Arkansas",7.9,"SEC",29,36.2,70,28.9,5.5,13,7,6,689.41,23,219.34
"2016Georgia Tech",2016,"Georgia Tech",7.8,"ACC",33,35,67,28.5,7.2,13,9,4,582.55,60,167.13
"2016Memphis",2016,"Memphis",7.7,"American Athletic",43,33.8,74,29.3,6.8,13,8,5,451.24,61,165.98
"2016Tulsa",2016,"Tulsa",7.4,"American Athletic",36,34.6,57,27.6,10,13,10,3,409.17,95,128.52
"2016Michigan State",2016,"Michigan State",7.4,"Big Ten",55,31,39,24.1,4.8,12,3,9,719.7,17,239.13
"2016Navy",2016,"Navy",6.8,"American Athletic",16,39.8,96,33.9,7.9,14,9,5,342.77,91,132.07
"2016Colorado",2016,"Colorado",6.3,"Pac-12",65,29.3,27,21.7,9,14,10,4,526.39,69,160.42
"2016Washington State",2016,"Washington State",6.2,"Pac-12",29,36.2,60,27.8,7.8,13,8,5,522.58,56,169.74
"2016Oregon",2016,"Oregon",6.1,"Pac-12",6,42.5,105,36.1,4.4,12,4,8,738.29,27,216.42
"2016Mississippi State",2016,"Mississippi State",5.4,"SEC",37,34.5,60,27.8,5.4,13,6,7,679.14,28,211.11
"2016Indiana",2016,"Indiana",4.6,"Big Ten",91,25.1,20,19.4,6.3,13,6,7,565.47,53,172.23
"2016Air Force",2016,"Air Force",4.4,"Mountain West",45,33,79,29.9,9.4,13,10,3,44.58,114,110.9
"2016Texas Tech",2016,"Texas Tech",3.7,"Big 12",10,40.6,111,36.9,5.4,12,5,7,604.93,44,184.64
"2016Louisiana Tech",2016,"Louisiana Tech",3.1,"Conference USA",16,39.8,111,36.9,9.1,14,9,5,451.38,94,128.91
"2016Northwestern",2016,"Northwestern",2.9,"Big Ten",75,27.9,37,23.5,6.7,13,7,6,613.55,52,174.91
"2016California",2016,"California",2.4,"Pac-12",22,38.4,106,36.3,5.6,12,5,7,601.17,31,207.8
"2016Troy",2016,"Troy",1.1,"Sun Belt",87,25.7,43,25.1,8.8,13,10,3,390.47,98,127.73
"2016Colorado State",2016,"Colorado State",0.8,"Mountain West",44,33.5,98,34,7.4,13,7,6,412.28,76,150.5
"2016Southern Miss",2016,"Southern Miss",0.7,"Conference USA",67,29.1,78,29.6,7.9,13,7,6,441.29,100,126.05
"2016Iowa State",2016,"Iowa State",0.7,"Big 12",81,27,67,28.5,4,12,3,9,552.17,55,170.58
"2016Maryland",2016,"Maryland",-0.6,"Big Ten",69,28.7,63,28.1,5.4,13,6,7,651.99,41,190.15
"2016Wake Forest",2016,"Wake Forest",-0.6,"ACC",113,21.5,31,22.9,6.6,13,7,6,517.63,57,169.4
"2016Old Dominion",2016,"Old Dominion",-0.7,"Conference USA",62,29.9,82,30.9,9.4,13,10,3,347.2,120,106.63
"2016Missouri",2016,"Missouri",-1,"SEC",53,31.2,85,31.3,5.1,12,4,8,633.76,43,188.37
"2016Vanderbilt",2016,"Vanderbilt",-1.2,"SEC",89,25.3,48,26.3,4.5,13,6,7,619.03,54,171.54
"2016Arkansas State",2016,"Arkansas State",-1.2,"Sun Belt",112,21.9,26,21.1,8.8,13,8,5,471.45,90,132.18
"2016Boston College",2016,"Boston College",-1.6,"ACC",116,20.1,24,20.8,6.8,13,7,6,533.39,78,146.69
"2016Middle Tennessee",2016,"Middle Tennessee",-1.9,"Conference USA",33,35,110,36.8,7.6,13,8,5,436.6,96,128.26
"2016Ohio",2016,"Ohio",-2.1,"Mid-American",110,22,45,25.8,9.1,14,8,6,372.56,115,109.82
"2016UCF",2016,"UCF",-2.2,"American Athletic",119,19.3,35,23.3,6.7,13,6,7,510.27,65,162.22
"2016Northern Illinois",2016,"Northern Illinois",-2.4,"Mid-American",50,32,91,32.7,4.3,12,5,7,403.27,112,111.4
"2016Kentucky",2016,"Kentucky",-2.6,"SEC",56,30.8,93,33.4,6,13,7,6,652.07,34,204.07
"2016Syracuse",2016,"Syracuse",-2.7,"ACC",66,29.2,84,31.2,4.5,12,4,8,520.26,62,165.15
"2016Duke",2016,"Duke",-2.8,"ACC",82,26.8,57,27.6,4.7,12,4,8,599.82,33,204.67
"2016Arizona State",2016,"Arizona State",-3,"Pac-12",47,32.2,116,37.6,3.7,12,5,7,694.21,24,217.62
"2016Cincinnati",2016,"Cincinnati",-3.6,"American Athletic",98,24.5,53,27.3,4.2,12,4,8,541.58,74,152.74
"2016Virginia",2016,"Virginia",-3.8,"ACC",88,25.4,67,28.5,2.6,12,2,10,618.91,63,164.95
"2016Georgia Southern",2016,"Georgia Southern",-3.9,"Sun Belt",76,27.8,89,32.6,4.6,12,5,7,435.33,77,149.4
"2016South Carolina",2016,"South Carolina",-4,"SEC",104,22.7,56,27.5,6.6,13,6,7,706.9,25,216.77
"2016Utah State",2016,"Utah State",-4.4,"Mountain West",96,24.7,59,27.7,5,12,3,9,357.13,92,130.65
"2016Arizona",2016,"Arizona",-4.5,"Pac-12",63,29.6,88,32.4,3.5,12,3,9,616.31,48,180.42
"2016Oregon State",2016,"Oregon State",-4.6,"Pac-12",86,26.1,81,30,4.7,12,4,8,524.89,58,169.17
"2016New Mexico",2016,"New Mexico",-5.1,"Mountain West",47,32.2,118,38.6,7.2,13,9,4,387.26,83,141.76
"2016Akron",2016,"Akron",-5.6,"Mid-American",108,22.3,64,28.2,5.8,12,5,7,443.73,132,82.29
"2016Miami (OH)",2016,"Miami (OH)",-6.1,"Mid-American",100,23.8,72,29,7.4,13,6,7,418.04,93,129.79
"2016Central Michigan",2016,"Central Michigan",-6.1,"Mid-American",78,27.6,86,31.4,5.8,13,6,7,391.81,107,112.52
"2016Bowling Green",2016,"Bowling Green",-6.6,"Mid-American",93,25,87,31.8,2,12,4,8,392.66,111,111.58
"2016Illinois",2016,"Illinois",-6.7,"Big Ten",104,22.7,77,29.5,3.4,12,3,9,523.91,73,153.64
"2016Wyoming",2016,"Wyoming",-6.9,"Mountain West",60,30.4,114,37.5,7.1,14,8,6,316.18,116,109.65
"2016Ball State",2016,"Ball State",-7,"Mid-American",73,28.2,100,35.1,5.4,12,4,8,365.94,113,110.91
"2016Eastern Michigan",2016,"Eastern Michigan",-8.2,"Mid-American",72,28.3,107,36.6,7.2,13,7,6,347.7,121,102.89
"2016Louisiana",2016,"Louisiana",-8.7,"Sun Belt",117,19.8,75,29.4,6.5,13,6,7,421.37,106,115.83
"2016East Carolina",2016,"East Carolina",-9,"American Athletic",80,27.2,100,35.1,2.9,12,3,9,442.26,79,146.62
"2016South Alabama",2016,"South Alabama",-9.4,"Sun Belt",90,25.2,92,33.3,6.2,13,6,7,389.36,87,134.08
"2016Army",2016,"Army",-9.9,"FBS Independents",109,22.2,73,29.2,8.5,13,8,5,131.74,117,108.9
