"Year","School","Talent"
"2022","Fordham","32.71"
"2022","Monmouth","28.53"
"2022","Charleston Southern","28.10"
"2022","Morgan State","28.00"
"2022","Southeast Missouri State","26.12"
"2022","North Dakota State","25.18"
"2022","New Hampshire","24.60"
"2022","Yale","24.05"
"2022","Lamar","23.88"
"2022","Kennesaw State","22.69"
"2022","Lafayette","22.41"
"2022","Robert Morris","21.85"
"2022","The Citadel","21.07"
"2022","Arkansas-Pine Bluff","20.54"
"2022","Gardner-Webb","19.68"
"2022","Wofford","17.85"
"2022","Jacksonville","17.49"
"2022","Army","17.27"
"2022","St. Francis (PA)","16.89"
"2022","Princeton","16.08"
"2022","Villanova","15.94"
"2022","Bryant","14.59"
"2022","Colgate","14.43"
"2022","Valparaiso","11.85"
"2022","Lehigh","11.72"
"2022","Central Connecticut","11.33"
"2022","William & Mary","10.64"
"2022","South Dakota State","5.97"
"2022","Houston Christian","5.41"
"2022","Morehead State","4.96"
"2022","Air Force","0.00"
"2022","Navy","0.00"
